candidate,params,fold,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,roc_auc,average_precision,brier_loss,log_loss,predicted_up_share
gradient_boost,"{""model__max_depth"": 1}",2,0.5065502183406113,0.5047782874617737,0.5284552845528455,0.5416666666666666,0.5349794238683128,0.4819571865443425,0.5060337983673472,0.25404867544790094,0.7013882692008928,0.537117903930131
gradient_boost,"{""model__max_depth"": 1}",3,0.537117903930131,0.5223071046600458,0.5323383084577115,0.8991596638655462,0.66875,0.4760504201680672,0.4939041835656097,0.2512812964232345,0.6957521252333276,0.8777292576419214
gradient_boost,"{""model__max_depth"": 1}",4,0.5676855895196506,0.5663996948893975,0.5439560439560439,0.8608695652173913,0.6666666666666666,0.6022501906941267,0.5894600719852392,0.24528929755484666,0.6835626793260214,0.7947598253275109
gradient_boost,"{""model__max_depth"": 2}",1,0.5065502183406113,0.4995781561589201,0.5367647058823529,0.5934959349593496,0.5637065637065637,0.5074781408191441,0.5675384724913128,0.2649703993193558,0.7259687686173547,0.5938864628820961
gradient_boost,"{""model__max_depth"": 2}",2,0.4759825327510917,0.47645259938837925,0.5,0.4666666666666667,0.4827586206896552,0.471980122324159,0.4941104420006581,0.2601258083567469,0.7142548270025821,0.4890829694323144
gradient_boost,"{""model__max_depth"": 2}",3,0.45414847161572053,0.4431627196333079,0.48314606741573035,0.7226890756302521,0.5791245791245792,0.4299465240641711,0.48059950515144884,0.2571079335797523,0.7075301476785628,0.777292576419214
gradient_boost,"{""model__max_depth"": 2}",4,0.4978165938864629,0.49717772692601064,0.5,0.6434782608695652,0.5627376425855514,0.5612890922959574,0.5801851932105636,0.2460585202497817,0.6849516689189008,0.6462882096069869
knn,"{""model__n_neighbors"": 25}",1,0.5633187772925764,0.5589430894308943,0.5891472868217055,0.6178861788617886,0.6031746031746031,0.5802270286853812,0.5939563763891953,0.24488986700072116,0.6829234274675337,0.5633187772925764
knn,"{""model__n_neighbors"": 25}",2,0.5283842794759825,0.5230886850152905,0.5428571428571428,0.6333333333333333,0.5846153846153846,0.5043577981651377,0.524639923004931,0.2559453955909351,0.7058397792782202,0.611353711790393
knn,"{""model__n_neighbors"": 25}",3,0.4847161572052402,0.4791061879297174,0.5034013605442177,0.6218487394957983,0.556390977443609,0.4576776165011459,0.5124026737976868,0.26159284816533174,0.7171038536091328,0.6419213973799127
knn,"{""model__n_neighbors"": 25}",4,0.5065502183406113,0.5058733790999237,0.5066666666666667,0.6608695652173913,0.5735849056603773,0.5378337147215866,0.5570269047378852,0.2536405580587791,0.7009596748281819,0.6550218340611353
knn,"{""model__n_neighbors"": 55}",1,0.5502183406113537,0.5356649792913023,0.5625,0.7317073170731707,0.6360424028268551,0.5413406964258322,0.5641553520103448,0.24767613650726195,0.6885041304825728,0.6986899563318777
knn,"{""model__n_neighbors"": 55}",2,0.5327510917030568,0.521368501529052,0.5384615384615384,0.7583333333333333,0.629757785467128,0.5092507645259939,0.5426996209243412,0.2516773295901889,0.6965508768564335,0.7379912663755459
knn,"{""model__n_neighbors"": 55}",3,0.49344978165938863,0.4806340718105424,0.5079365079365079,0.8067226890756303,0.6233766233766234,0.5000763941940413,0.5579455924887451,0.251528213494679,0.6961659031573196,0.8253275109170306
knn,"{""model__n_neighbors"": 55}",4,0.49344978165938863,0.4923340961098398,0.49710982658959535,0.7478260869565218,0.5972222222222222,0.5305873379099924,0.5289777097960358,0.25256548058237854,0.6985334719782635,0.7554585152838428
naive_bayes,"{""model__var_smoothing"": 1e-06}",1,0.5152838427947598,0.5344377972081608,0.6071428571428571,0.2764227642276423,0.37988826815642457,0.5318300352814849,0.5816579835688813,0.2897087797651566,0.860944991182091,0.2445414847161572
naive_bayes,"{""model__var_smoothing"": 1e-06}",2,0.462882096069869,0.47740825688073396,0.4666666666666667,0.175,0.2545454545454545,0.44235474006116204,0.4822294818681714,0.30138369497680195,0.9566204609104778,0.1965065502183406
naive_bayes,"{""model__var_smoothing"": 1e-06}",3,0.4890829694323144,0.49602750190985484,0.5135135135135135,0.31932773109243695,0.39378238341968913,0.4983193277310924,0.5174803492383011,0.26255112055180074,0.7919928043295903,0.3231441048034934
naive_bayes,"{""model__var_smoothing"": 1e-06}",4,0.4890829694323144,0.4875286041189931,0.49489795918367346,0.8434782608695652,0.6237942122186495,0.5073226544622426,0.4980194278731572,0.2606155882346038,0.7237040998013663,0.8558951965065502
naive_bayes,"{""model__var_smoothing"": 0.01}",1,0.519650655021834,0.5391547783402363,0.6181818181818182,0.2764227642276423,0.38202247191011235,0.5318300352814849,0.5816173786385774,0.2890967463714409,0.8558968724190886,0.24017467248908297
naive_bayes,"{""model__var_smoothing"": 0.01}",2,0.462882096069869,0.47740825688073396,0.4666666666666667,0.175,0.2545454545454545,0.4428134556574923,0.48250282898177665,0.300629990531372,0.9517067257950902,0.1965065502183406
naive_bayes,"{""model__var_smoothing"": 0.01}",3,0.4890829694323144,0.49602750190985484,0.5135135135135135,0.31932773109243695,0.39378238341968913,0.49870129870129865,0.5176462699643775,0.26225460470703005,0.7912200867531944,0.3231441048034934
naive_bayes,"{""model__var_smoothing"": 0.01}",4,0.4890829694323144,0.4875286041189931,0.49489795918367346,0.8434782608695652,0.6237942122186495,0.5079328756674295,0.49865826325646745,0.2604600212401251,0.723000359329565,0.8558951965065502
