steps,horizon,mean_reward,mean_abs_td,exposure,turnover_per_step,unique_dates,visited_states,candidate,training_seed
12690,90,-0.006355598001823513,0.6996384335753415,0.5,0.35555555555555557,1116,41,SARSA,19
12780,90,-0.01984581749593122,1.028778734110727,0.5555555555555556,0.25555555555555554,1116,41,SARSA,19
12870,90,0.2335283844206412,0.5340063267807631,0.5222222222222223,0.07777777777777778,1116,41,SARSA,19
12960,90,-0.03978730881421282,0.6091047704810192,0.4,0.2,1116,41,SARSA,19
13050,90,-0.03516556051317386,0.37177471349969593,0.26666666666666666,0.2222222222222222,1116,41,SARSA,19
13140,90,-0.03778624474868092,0.25936218140909156,0.32222222222222224,0.16666666666666666,1116,41,SARSA,19
13230,90,0.01840713867811123,0.351355610344797,0.28888888888888886,0.13333333333333333,1116,41,SARSA,19
13320,90,-0.013272869907158825,0.24603551244903168,0.17777777777777778,0.15555555555555556,1116,41,SARSA,19
13410,90,0.03147321749483967,0.29981430098740885,0.2111111111111111,0.24444444444444444,1116,41,SARSA,19
13500,90,-0.13181319491398008,0.5801159423304706,0.4111111111111111,0.3111111111111111,1116,41,SARSA,19
13590,90,-0.0219271155345658,0.23438092087547693,0.2,0.14444444444444443,1116,41,SARSA,19
13680,90,0.028253502999768754,0.2349538661820369,0.23333333333333334,0.2,1116,41,SARSA,19
13770,90,-0.02984497254968624,0.3456238816847255,0.26666666666666666,0.18888888888888888,1116,41,SARSA,19
13860,90,0.009278501465370551,0.1697723721720929,0.16666666666666666,0.06666666666666667,1116,41,SARSA,19
13950,90,0.0314721890959335,0.24179385061787195,0.15555555555555556,0.15555555555555556,1116,41,SARSA,19
14040,90,0.004646928278293869,0.501522609477407,0.35555555555555557,0.4666666666666667,1116,41,SARSA,19
14130,90,0.0854271294585495,0.3165154735991845,0.35555555555555557,0.28888888888888886,1116,41,SARSA,19
14220,90,-0.06272371143464975,0.16618842163752953,0.1111111111111111,0.2,1116,41,SARSA,19
14310,90,-0.08632260439506918,0.6497783073470716,0.4,0.5111111111111111,1116,41,SARSA,19
14400,90,0.05862190963058605,0.8311412743112075,0.6222222222222222,0.16666666666666666,1116,41,SARSA,19
14490,90,0.11373594426198476,0.3579376698057894,0.4222222222222222,0.14444444444444443,1116,41,SARSA,19
14580,90,0.03354811311859336,0.2002289129943963,0.13333333333333333,0.1,1116,41,SARSA,19
14670,90,0.08593050078071758,0.38034170429711206,0.45555555555555555,0.24444444444444444,1116,41,SARSA,19
14760,90,0.06715623720211913,0.5262368138089878,0.4111111111111111,0.26666666666666666,1116,41,SARSA,19
14850,90,0.16769719829343227,0.4279088087723368,0.2777777777777778,0.23333333333333334,1116,41,SARSA,19
14940,90,0.07949680816579024,0.4581192752720472,0.36666666666666664,0.2111111111111111,1116,41,SARSA,19
15030,90,-0.011067521537811622,0.32019970980137674,0.37777777777777777,0.1,1116,41,SARSA,19
15120,90,-0.024871506947411415,0.2880200538729947,0.2222222222222222,0.26666666666666666,1116,41,SARSA,19
15210,90,0.051836412012268886,0.7654175938583693,0.5555555555555556,0.08888888888888889,1131,41,SARSA,19
15300,90,0.06748563969065766,0.7452945088203746,0.5777777777777777,0.17777777777777778,1134,41,SARSA,19
15390,90,-0.05053607223950597,0.5113740365200242,0.37777777777777777,0.28888888888888886,1134,41,SARSA,19
15480,90,0.07609629166761207,0.680803332913968,0.5222222222222223,0.14444444444444443,1134,41,SARSA,19
15570,90,0.1370188782987534,0.3774859346171319,0.34444444444444444,0.17777777777777778,1134,41,SARSA,19
15660,90,0.016142719130310457,0.9750275699252295,0.4888888888888889,0.24444444444444444,1134,41,SARSA,19
15750,90,0.013028600593564038,0.6518198736612196,0.5888888888888889,0.1111111111111111,1134,41,SARSA,19
15840,90,-0.027345594572511876,0.03892576315718677,0.022222222222222223,0.044444444444444446,1134,41,SARSA,19
15930,90,0.13556764857556822,0.34371996610124483,0.28888888888888886,0.1111111111111111,1134,41,SARSA,19
16020,90,0.037905839871219156,0.28225913916762535,0.35555555555555557,0.13333333333333333,1134,41,SARSA,19
16110,90,0.019967468579426734,0.19499887844904254,0.16666666666666666,0.13333333333333333,1134,41,SARSA,19
16200,90,0.0924296290320797,0.3019133687090647,0.24444444444444444,0.13333333333333333,1134,41,SARSA,19
16290,90,-0.0004138826023602703,0.33759436367891854,0.24444444444444444,0.13333333333333333,1134,41,SARSA,19
16380,90,0.1468066217172579,0.35664087148144685,0.26666666666666666,0.18888888888888888,1134,41,SARSA,19
16470,90,-0.006067381750827318,0.6296472633205512,0.5555555555555556,0.2777777777777778,1134,41,SARSA,19
